Instancia,Método,Parámetro,V. total pm,V. solapamiento pm,V. 8h pm,V. 6h pm,V. tiempo muerto pm,V. créditos pm,V. total m,V. solapamiento m,V. 8h m,V. 6h m,V. tiempo muerto m,V. créditos m,V. total p,V. solapamiento p,V. 8h p,V. 6h p,V. tiempo muerto p,V. créditos p
t3.123.33,first,0.0,50,45,0,0,2,0,24,24,0,0,0,0,103,96,0,0,19,12
t3.123.33,first,0.1,50,44,0,0,4,0,24,24,0,0,0,0,103,84,0,0,32,12
t3.123.33,first,0.2,54,46,0,0,5,1,24,12,0,0,0,0,103,84,0,0,32,12
t3.123.33,first,0.30000000000000004,61,51,0,0,7,1,24,12,0,0,0,0,109,96,0,0,38,12
t3.123.33,first,0.4,64,55,0,0,6,1,36,18,0,0,0,0,109,96,0,0,50,6
t3.123.33,first,0.5,67,55,0,0,9,1,24,12,0,0,0,0,104,96,0,0,51,6
t3.123.33,first,0.6,69,57,0,0,9,1,30,18,0,0,0,0,141,114,0,0,81,12
t3.123.33,first,0.7,72,59,0,0,10,1,36,12,0,0,0,0,116,102,0,0,51,6
t3.123.33,first,0.7999999999999999,74,60,0,0,10,1,36,24,0,0,0,0,134,108,0,0,75,12
t3.123.33,first,0.8999999999999999,78,60,0,0,14,1,36,24,0,0,0,0,134,108,0,0,63,12
t3.123.33,first,0.9999999999999999,92,61,0,0,29,1,42,18,0,0,0,0,147,102,0,0,93,12
