ID,Instancia,Método,Parámetro,T. ejecución,T. construcción,T. mejora,V. total,V. solapamiento,V. 8h,V. 6h,V. tiempo muerto,V. créditos
1624998878827,t3.123.33,first,0.0,89,15,74,30,30,0,0,0,0
1624998879826,t3.123.33,first,0.0,72,16,56,72,60,0,0,0,6
1624998880749,t3.123.33,first,0.0,63,10,53,60,60,0,0,0,0
1624998880814,t3.123.33,first,0.0,49,11,38,36,36,0,0,0,0
1624998880865,t3.123.33,first,0.0,30,13,17,36,36,0,0,0,0
1624998880897,t3.123.33,first,0.0,53,0,53,54,54,0,0,0,0
1624998881577,t3.123.33,first,0.0,59,15,44,36,36,0,0,0,0
1624998882695,t3.123.33,first,0.0,52,13,39,48,48,0,0,0,0
1624998882749,t3.123.33,first,0.0,97,15,82,48,48,0,0,0,0
1624998883458,t3.123.33,first,0.0,35,16,19,60,60,0,0,0,0
1624998884178,t3.123.33,first,0.0,50,20,30,36,24,0,0,0,6
1624998884710,t3.123.33,first,0.0,14,11,3,36,36,0,0,0,0
1624998884742,t3.123.33,first,0.0,52,15,37,66,66,0,0,0,0
1624998884796,t3.123.33,first,0.0,34,0,34,72,72,0,0,0,0
1624998884976,t3.123.33,first,0.0,37,18,19,67,54,0,0,13,0
1624998885015,t3.123.33,first,0.0,74,15,59,60,60,0,0,0,0
1624998885091,t3.123.33,first,0.0,71,0,71,54,54,0,0,0,0
1624998885889,t3.123.33,first,0.0,32,16,16,67,54,0,0,13,0
1624998886588,t3.123.33,first,0.0,84,15,69,48,48,0,0,0,0
1624998887240,t3.123.33,first,0.0,67,0,67,78,78,0,0,0,0
1624998887307,t3.123.33,first,0.0,63,15,48,60,60,0,0,0,0
1624998887371,t3.123.33,first,0.0,72,16,56,42,42,0,0,0,0
1624998888039,t3.123.33,first,0.0,64,9,55,54,54,0,0,0,0
1624998888156,t3.123.33,first,0.0,70,15,55,36,36,0,0,0,0
1624998888759,t3.123.33,first,0.0,83,23,60,55,42,0,0,13,0
