ID,Instancia,Método,Parámetro,T. ejecución,T. construcción,T. mejora,V. total,V. solapamiento,V. 8h,V. 6h,V. tiempo muerto,V. créditos
1624998279328,t3.123.33,first,1,339,127,212,24,24,0,0,0,0
1624998279727,t3.123.33,first,1,247,56,191,24,24,0,0,0,0
1624998280021,t3.123.33,first,1,209,50,159,24,24,0,0,0,0
1624998280262,t3.123.33,first,1,166,47,119,24,24,0,0,0,0
1624998280459,t3.123.33,first,1,167,56,111,24,24,0,0,0,0
1624998280626,t3.123.33,first,1,168,50,118,24,24,0,0,0,0
1624998280809,t3.123.33,first,1,174,38,136,24,24,0,0,0,0
1624998281092,t3.123.33,first,1,114,15,99,24,24,0,0,0,0
1624998281255,t3.123.33,first,1,75,17,58,24,24,0,0,0,0
1624998281362,t3.123.33,first,1,104,16,88,24,24,0,0,0,0
1624998281497,t3.123.33,first,1,87,16,71,24,24,0,0,0,0
1624998281631,t3.123.33,first,1,99,15,84,24,24,0,0,0,0
1624998281764,t3.123.33,first,1,117,15,102,24,24,0,0,0,0
1624998281929,t3.123.33,first,1,89,16,73,24,24,0,0,0,0
1624998282065,t3.123.33,first,1,84,27,57,24,24,0,0,0,0
1624998282212,t3.123.33,first,1,101,27,74,24,24,0,0,0,0
1624998282313,t3.123.33,first,1,100,29,71,24,24,0,0,0,0
1624998282429,t3.123.33,first,1,84,19,65,24,24,0,0,0,0
1624998282513,t3.123.33,first,1,85,17,68,24,24,0,0,0,0
1624998282630,t3.123.33,first,1,118,40,78,24,24,0,0,0,0
1624998282796,t3.123.33,first,1,84,13,71,24,24,0,0,0,0
1624998282881,t3.123.33,first,1,99,18,81,24,24,0,0,0,0
1624998283012,t3.123.33,first,1,101,30,71,24,24,0,0,0,0
1624998283129,t3.123.33,first,1,86,16,70,24,24,0,0,0,0
1624998283230,t3.123.33,first,1,83,26,57,24,24,0,0,0,0
1624998283329,t3.123.33,first,1,72,6,66,24,24,0,0,0,0
1624998283446,t3.123.33,first,1,84,0,84,24,24,0,0,0,0
1624998283530,t3.123.33,first,1,86,15,71,24,24,0,0,0,0
1624998283648,t3.123.33,first,1,83,15,68,24,24,0,0,0,0
1624998283763,t3.123.33,first,1,100,29,71,24,24,0,0,0,0
1624998283896,t3.123.33,first,1,83,15,68,24,24,0,0,0,0
1624998283995,t3.123.33,first,1,84,0,84,24,24,0,0,0,0
1624998284079,t3.123.33,first,1,103,16,87,24,24,0,0,0,0
1624998284213,t3.123.33,first,1,83,22,61,24,24,0,0,0,0
1624998284312,t3.123.33,first,1,102,16,86,24,24,0,0,0,0
1624998284447,t3.123.33,first,1,82,0,82,24,24,0,0,0,0
1624998284529,t3.123.33,first,1,86,15,71,24,24,0,0,0,0
