ID,Instancia,Método,Parámetro,T. ejecución,T. construcción,T. mejora,V. total,V. solapamiento,V. 8h,V. 6h,V. tiempo muerto,V. créditos
1624999252553,t3.123.33,first,1,563,7,556,30,30,0,0,0,0
1624999253116,t3.123.33,first,1,408,16,392,87,36,0,0,51,0
1624999253539,t3.123.33,first,1,581,0,581,42,42,0,0,0,0
1624999254136,t3.123.33,first,1,375,0,375,106,36,0,0,70,0
1624999254511,t3.123.33,first,1,343,0,343,81,30,0,0,51,0
1624999254855,t3.123.33,first,1,411,0,411,24,24,0,0,0,0
1624999255284,t3.123.33,first,1,403,15,388,30,30,0,0,0,0
1624999255719,t3.123.33,first,1,391,21,370,24,24,0,0,0,0
1624999256110,t3.123.33,first,1,378,16,362,24,24,0,0,0,0
1624999256504,t3.123.33,first,1,305,0,305,56,24,0,0,32,0
1624999256840,t3.123.33,first,1,493,0,493,36,36,0,0,0,0
1624999257349,t3.123.33,first,1,345,0,345,62,30,0,0,32,0
1624999257694,t3.123.33,first,1,313,18,295,112,42,0,0,70,0
1624999258054,t3.123.33,first,1,320,16,304,106,36,0,0,70,0
1624999258389,t3.123.33,first,1,369,0,369,49,30,0,0,19,0
1624999258774,t3.123.33,first,1,471,0,471,30,30,0,0,0,0
1624999259260,t3.123.33,first,1,516,0,516,87,36,0,0,51,0
1624999259902,t3.123.33,first,1,330,0,330,81,30,0,0,51,0
1624999260248,t3.123.33,first,1,391,19,372,24,24,0,0,0,0
1624999260671,t3.123.33,first,1,425,4,421,81,30,0,0,51,0
1624999261097,t3.123.33,first,1,343,0,343,43,24,0,0,19,0
1624999261471,t3.123.33,first,1,347,18,329,68,36,0,0,32,0
1624999261834,t3.123.33,first,1,274,21,253,87,36,0,0,51,0
1624999262108,t3.123.33,first,1,350,0,350,43,24,0,0,19,0
1624999262474,t3.123.33,first,1,324,0,324,87,36,0,0,51,0
1624999262800,t3.123.33,first,1,380,3,377,87,36,0,0,51,0
1624999263199,t3.123.33,first,1,419,17,402,24,24,0,0,0,0
1624999263618,t3.123.33,first,1,498,17,481,56,24,0,0,32,0
1624999264118,t3.123.33,first,1,391,6,385,87,36,0,0,51,0
1624999264512,t3.123.33,first,1,423,8,415,30,30,0,0,0,0
1624999264953,t3.123.33,first,1,336,5,331,30,30,0,0,0,0
1624999265292,t3.123.33,first,1,361,3,358,106,36,0,0,70,0
1624999265674,t3.123.33,first,1,489,5,484,56,24,0,0,32,0
1624999266171,t3.123.33,first,1,365,5,360,56,24,0,0,32,0
1624999266559,t3.123.33,first,1,414,6,408,68,36,0,0,32,0
1624999266975,t3.123.33,first,1,359,6,353,30,30,0,0,0,0
1624999267378,t3.123.33,first,1,536,4,532,30,30,0,0,0,0
1624999267915,t3.123.33,first,1,390,5,385,87,36,0,0,51,0
1624999268325,t3.123.33,first,1,440,3,437,30,30,0,0,0,0
1624999268768,t3.123.33,first,1,408,3,405,87,36,0,0,51,0
1624999269177,t3.123.33,first,1,466,5,461,42,42,0,0,0,0
1624999269645,t3.123.33,first,1,313,7,306,112,42,0,0,70,0
1624999269990,t3.123.33,first,1,366,4,362,56,24,0,0,32,0
1624999270359,t3.123.33,first,1,321,4,317,49,30,0,0,19,0
1624999270708,t3.123.33,first,1,489,2,487,56,24,0,0,32,0
1624999271200,t3.123.33,first,1,392,7,385,30,30,0,0,0,0
1624999271641,t3.123.33,first,1,435,5,430,24,24,0,0,0,0
1624999272077,t3.123.33,first,1,478,3,475,42,42,0,0,0,0
1624999272557,t3.123.33,first,1,303,4,299,56,24,0,0,32,0
1624999272863,t3.123.33,first,1,448,5,443,30,30,0,0,0,0
1624999273363,t3.123.33,first,1,410,6,404,30,30,0,0,0,0
1624999273808,t3.123.33,first,1,350,5,345,75,24,0,0,51,0
1624999274161,t3.123.33,first,1,581,7,574,42,42,0,0,0,0
1624999274769,t3.123.33,first,1,391,5,386,18,18,0,0,0,0
1624999275183,t3.123.33,first,1,430,5,425,68,36,0,0,32,0
1624999275737,t3.123.33,first,1,421,21,400,30,30,0,0,0,0
1624999276158,t3.123.33,first,1,438,0,438,81,30,0,0,51,0
1624999276596,t3.123.33,first,1,414,0,414,24,24,0,0,0,0
1624999277041,t3.123.33,first,1,417,19,398,87,36,0,0,51,0
1624999277458,t3.123.33,first,1,548,0,548,30,30,0,0,0,0
1624999278021,t3.123.33,first,1,428,0,428,87,36,0,0,51,0
1624999278449,t3.123.33,first,1,326,16,310,106,36,0,0,70,0
1624999278838,t3.123.33,first,1,422,0,422,18,18,0,0,0,0
1624999279260,t3.123.33,first,1,502,0,502,99,48,0,0,51,0
1624999279762,t3.123.33,first,1,627,0,627,87,36,0,0,51,0
1624999280420,t3.123.33,first,1,487,16,471,99,48,0,0,51,0
1624999280938,t3.123.33,first,1,408,0,408,75,24,0,0,51,0
1624999281346,t3.123.33,first,1,364,0,364,75,24,0,0,51,0
1624999281741,t3.123.33,first,1,467,0,467,24,24,0,0,0,0
1624999282208,t3.123.33,first,1,483,20,463,24,24,0,0,0,0
1624999282707,t3.123.33,first,1,470,0,470,42,42,0,0,0,0
1624999283209,t3.123.33,first,1,423,0,423,24,24,0,0,0,0
1624999283664,t3.123.33,first,1,346,0,346,106,36,0,0,70,0
1624999284041,t3.123.33,first,1,383,0,383,43,24,0,0,19,0
1624999284455,t3.123.33,first,1,385,0,385,87,36,0,0,51,0
1624999284856,t3.123.33,first,1,438,0,438,18,18,0,0,0,0
1624999285341,t3.123.33,first,1,424,0,424,87,36,0,0,51,0
1624999285765,t3.123.33,first,1,361,0,361,106,36,0,0,70,0
1624999286158,t3.123.33,first,1,533,18,515,87,36,0,0,51,0
1624999286722,t3.123.33,first,1,367,16,351,87,36,0,0,51,0
1624999287089,t3.123.33,first,1,445,0,445,93,42,0,0,51,0
1624999287566,t3.123.33,first,1,581,0,581,24,24,0,0,0,0
