Instancia;Método;Parámetro;T. ejecución;V. total;V. solapamiento;V. 8h;V. 6h;V. tiempo muerto;V. créditos
t1.1;best;0.0;0;24;24;0;0;0;0
t1.1;best;0.0;0;19;0;0;0;19;0
t1.1;best;0.0;16;24;24;0;0;0;0
t1.1;best;0.0;0;24;24;0;0;0;0
t1.1;best;0.0;0;80;36;0;0;44;0
t1.1;best;0.0;18;37;24;0;0;13;0
t1.1;best;0.0;4;12;12;0;0;0;0
t1.1;best;0.0;5;31;12;0;0;19;0
t1.1;best;0.0;3;43;24;0;0;19;0
t1.1;best;0.0;6;12;12;0;0;0;0
t1.1;best;0.0;4;19;0;0;0;19;0
t1.1;best;0.0;3;12;12;0;0;0;0
t1.1;best;0.0;5;12;12;0;0;0;0
t1.1;best;0.0;4;31;12;0;0;19;0
t1.1;best;0.0;6;12;12;0;0;0;0
t1.1;best;0.0;4;0;0;0;0;0;0
t1.1;best;0.0;3;19;0;0;0;19;0
t1.1;best;0.0;8;24;24;0;0;0;0
t1.1;best;0.0;4;31;12;0;0;19;0
t1.1;best;0.0;5;31;12;0;0;19;0
t1.1;best;0.0;5;24;24;0;0;0;0
t1.1;best;0.0;6;37;24;0;0;13;0
t1.1;best;0.0;4;31;12;0;0;19;0
t1.1;best;0.0;3;24;24;0;0;0;0
t1.1;best;0.0;4;36;36;0;0;0;0
t1.1;best;0.0;5;12;12;0;0;0;0
t1.1;best;0.0;5;12;12;0;0;0;0
t1.1;best;0.0;5;24;24;0;0;0;0
t1.1;best;0.0;3;19;0;0;0;19;0
t1.1;best;0.0;6;43;24;0;0;19;0
t1.1;best;0.0;3;12;12;0;0;0;0
t1.1;best;0.0;4;19;0;0;0;19;0
t1.1;best;0.0;4;24;24;0;0;0;0
t1.1;best;0.0;4;12;12;0;0;0;0
t1.1;best;0.0;6;24;24;0;0;0;0
t1.1;best;0.0;3;19;0;0;0;19;0
t1.1;best;0.0;6;31;12;0;0;19;0
t1.1;best;0.0;3;31;12;0;0;19;0
t1.1;best;0.0;9;43;24;0;0;19;0
t1.1;best;0.0;5;31;12;0;0;19;0
t1.1;best;0.0;5;31;12;0;0;19;0
t1.1;best;0.0;3;12;12;0;0;0;0
t1.1;best;0.0;7;43;24;0;0;19;0
t1.1;best;0.0;5;31;12;0;0;19;0
t1.1;best;0.0;4;68;36;0;0;32;0
t1.1;best;0.0;6;43;12;0;0;31;0
t1.1;best;0.0;6;60;60;0;0;0;0
t1.1;best;0.0;6;43;12;0;0;31;0
t1.1;best;0.0;4;60;60;0;0;0;0
t1.1;best;0.0;3;19;0;0;0;19;0
t1.1;best;0.1;7;43;12;0;0;31;0
t1.1;best;0.1;5;50;12;0;0;38;0
t1.1;best;0.1;6;12;12;0;0;0;0
t1.1;best;0.1;3;19;0;0;0;19;0
t1.1;best;0.1;6;56;24;0;0;32;0
t1.1;best;0.1;4;37;24;0;0;13;0
t1.1;best;0.1;3;19;0;0;0;19;0
t1.1;best;0.1;4;24;24;0;0;0;0
t1.1;best;0.1;5;24;24;0;0;0;0
t1.1;best;0.1;4;24;24;0;0;0;0
t1.1;best;0.1;6;0;0;0;0;0;0
t1.1;best;0.1;7;37;24;0;0;13;0
t1.1;best;0.1;8;24;24;0;0;0;0
t1.1;best;0.1;7;0;0;0;0;0;0
t1.1;best;0.1;11;73;60;0;0;13;0
t1.1;best;0.1;4;19;0;0;0;19;0
t1.1;best;0.1;4;31;12;0;0;19;0
t1.1;best;0.1;5;43;24;0;0;19;0
t1.1;best;0.1;4;43;24;0;0;19;0
t1.1;best;0.1;7;24;24;0;0;0;0
t1.1;best;0.1;7;31;12;0;0;19;0
t1.1;best;0.1;7;24;24;0;0;0;0
t1.1;best;0.1;6;12;12;0;0;0;0
t1.1;best;0.1;8;36;36;0;0;0;0
t1.1;best;0.1;6;19;0;0;0;19;0
t1.1;best;0.1;10;43;24;0;0;19;0
t1.1;best;0.1;8;31;12;0;0;19;0
t1.1;best;0.1;8;12;12;0;0;0;0
