Instancia;Método;Parámetro;T. ejecución;V. total;V. solapamiento;V. 8h;V. 6h;V. tiempo muerto;V. créditos
t1.1;first;1;6;19;0;0;0;19;0
t1.1;first;1;4;19;0;0;0;19;0
t1.1;first;1;5;19;0;0;0;19;0
t1.1;first;1;5;19;0;0;0;19;0
t1.1;first;1;4;19;0;0;0;19;0
t1.1;first;1;4;19;0;0;0;19;0
t1.1;first;1;5;19;0;0;0;19;0
t1.1;first;1;6;19;0;0;0;19;0
t1.1;first;1;5;19;0;0;0;19;0
t1.1;first;1;5;19;0;0;0;19;0
t1.1;first;1;5;19;0;0;0;19;0
t1.1;first;1;6;19;0;0;0;19;0
t1.1;first;1;5;19;0;0;0;19;0
t1.1;first;1;5;19;0;0;0;19;0
t1.1;first;1;5;19;0;0;0;19;0
t1.1;first;1;5;19;0;0;0;19;0
t1.1;first;1;4;19;0;0;0;19;0
t1.1;first;1;4;19;0;0;0;19;0
t1.1;first;1;5;19;0;0;0;19;0
t1.1;first;1;6;19;0;0;0;19;0
t1.1;first;1;5;19;0;0;0;19;0
t1.1;first;1;4;19;0;0;0;19;0
t1.1;first;1;5;19;0;0;0;19;0
t1.1;first;1;5;19;0;0;0;19;0
t1.1;first;1;6;19;0;0;0;19;0
t1.1;first;1;5;19;0;0;0;19;0
t1.1;first;1;5;19;0;0;0;19;0
t1.1;first;1;4;19;0;0;0;19;0
t1.1;first;1;5;19;0;0;0;19;0
t1.1;first;1;6;19;0;0;0;19;0
t1.1;first;1;5;19;0;0;0;19;0
t1.1;first;1;4;19;0;0;0;19;0
t1.1;first;1;5;19;0;0;0;19;0
t1.1;first;1;5;19;0;0;0;19;0
t1.1;first;1;6;19;0;0;0;19;0
t1.1;first;1;5;19;0;0;0;19;0
t1.1;first;1;9;19;0;0;0;19;0
t1.1;first;1;10;19;0;0;0;19;0
t1.1;first;1;5;19;0;0;0;19;0
t1.1;first;1;4;19;0;0;0;19;0
t1.1;first;1;6;19;0;0;0;19;0
t1.1;first;1;5;19;0;0;0;19;0
t1.1;first;1;4;19;0;0;0;19;0
t1.1;first;1;4;19;0;0;0;19;0
t1.1;first;1;5;19;0;0;0;19;0
t1.1;first;1;6;19;0;0;0;19;0
t1.1;first;1;4;19;0;0;0;19;0
t1.1;first;1;4;19;0;0;0;19;0
t1.1;first;1;4;19;0;0;0;19;0
t1.1;first;1;6;19;0;0;0;19;0
t1.1;first;2;4;19;0;0;0;19;0
t1.1;first;2;3;19;0;0;0;19;0
t1.1;first;2;4;19;0;0;0;19;0
t1.1;first;2;4;19;0;0;0;19;0
t1.1;first;2;5;19;0;0;0;19;0
t1.1;first;2;4;19;0;0;0;19;0
t1.1;first;2;4;19;0;0;0;19;0
t1.1;first;2;3;19;0;0;0;19;0
t1.1;first;2;3;19;0;0;0;19;0
t1.1;first;2;4;19;0;0;0;19;0
